R#,E/N,(Td),A1,A2,A6,A11,A12,A13,A14,A16,A17,A18,A19,A20,A21,A22,A23,A27,A28
1,1,0.477352,4.07E+24,1.52E+24,5.58E+24,1.72E+24,3.37E-14,4.33E-14,0,2.41E-25,0,5.92E-29,4.07E-18,1.03E-19,3.96E-18,-1.15E-25,7.23201,12,2
2,1.15294,0.492937,3.95E+24,1.53E+24,5.46E+24,1.73E+24,3.46E-14,4.45E-14,0,2.85E-25,0,6.26E-29,5.25E-18,1.27E-19,5.13E-18,-1.41E-25,7.23201,6,1
3,1.61177,0.539964,3.66E+24,1.58E+24,5.13E+24,1.77E+24,3.70E-14,4.80E-14,0,5.11E-25,0,8.65E-29,9.51E-18,2.07E-19,9.31E-18,-2.76E-25,7.23201,6,1
4,2.37649,0.613446,3.29E+24,1.64E+24,4.67E+24,1.82E+24,4.07E-14,5.35E-14,0,1.57E-24,0,2.00E-28,1.86E-17,3.44E-19,1.82E-17,-9.61E-25,7.23201,6,1
5,3.4471,0.698568,2.92E+24,1.71E+24,4.21E+24,1.88E+24,4.49E-14,6.02E-14,0,7.66E-24,0,7.60E-28,3.47E-17,5.18E-19,3.45E-17,-5.35E-24,8.42058,11,2
6,4.82359,0.773979,2.63E+24,1.76E+24,3.84E+24,1.91E+24,4.87E-14,6.69E-14,0,4.16E-23,0,3.28E-27,6.12E-17,6.88E-19,6.03E-17,-3.22E-23,9.80444,12,2
7,6.50597,0.839961,2.39E+24,1.80E+24,3.53E+24,1.94E+24,5.22E-14,7.36E-14,0,1.96E-22,0,1.26E-26,1.01E-16,8.47E-19,1.00E-16,-1.64E-22,9.80444,6,1
8,8.49423,0.89497,2.20E+24,1.82E+24,3.28E+24,1.95E+24,5.52E-14,8.00E-14,0,7.28E-22,0,3.90E-26,1.59E-16,9.89E-19,1.58E-16,-6.52E-22,11.4157,11,2
9,10.7884,0.940489,2.05E+24,1.84E+24,3.07E+24,1.96E+24,5.78E-14,8.60E-14,0,2.14E-21,0,9.72E-26,2.38E-16,1.12E-18,2.37E-16,-2.02E-21,11.4157,6,1
10,13.3884,0.979419,1.92E+24,1.85E+24,2.90E+24,1.96E+24,6.02E-14,9.16E-14,1.99E-28,5.24E-21,7.72E-33,2.04E-25,3.44E-16,1.24E-18,3.43E-16,-5.13E-21,13.2916,11,2
11,16.2944,1.01331,1.82E+24,1.86E+24,2.75E+24,1.96E+24,6.23E-14,9.67E-14,6.55E-27,1.11E-20,2.21E-31,3.74E-25,4.83E-16,1.35E-18,4.81E-16,-1.12E-20,13.2916,6,1
12,19.5062,1.04422,1.74E+24,1.87E+24,2.63E+24,1.97E+24,6.43E-14,1.01E-13,1.17E-25,2.13E-20,3.46E-30,6.29E-25,6.60E-16,1.47E-18,6.59E-16,-2.22E-20,15.4758,11,2
13,23.0239,1.07445,1.66E+24,1.87E+24,2.52E+24,1.98E+24,6.63E-14,1.06E-13,1.23E-24,3.80E-20,3.21E-29,9.92E-25,8.82E-16,1.61E-18,8.80E-16,-4.08E-20,15.4758,6,1
14,26.8475,1.10613,1.60E+24,1.87E+24,2.42E+24,2.00E+24,6.84E-14,1.10E-13,8.93E-24,6.48E-20,2.08E-28,1.51E-24,1.15E-15,1.78E-18,1.15E-15,-7.17E-20,15.4758,5,1
15,30.9769,1.14229,1.54E+24,1.88E+24,2.33E+24,2.02E+24,7.05E-14,1.14E-13,4.98E-23,1.08E-19,1.04E-27,2.25E-24,1.48E-15,1.99E-18,1.48E-15,-1.23E-19,18.0188,11,2
16,35.4123,1.18637,1.50E+24,1.89E+24,2.25E+24,2.08E+24,7.29E-14,1.18E-13,2.25E-22,1.75E-19,4.26E-27,3.31E-24,1.87E-15,2.27E-18,1.87E-15,-2.08E-19,18.0188,5,1
17,40.1536,1.2436,1.45E+24,1.90E+24,2.18E+24,2.16E+24,7.55E-14,1.21E-13,8.72E-22,2.81E-19,1.49E-26,4.82E-24,2.34E-15,2.64E-18,2.34E-15,-3.49E-19,20.9796,10,2
18,45.2007,1.31829,1.41E+24,1.93E+24,2.11E+24,2.28E+24,7.85E-14,1.24E-13,2.93E-21,4.37E-19,4.58E-26,6.85E-24,2.89E-15,3.14E-18,2.89E-15,-5.73E-19,20.9796,5,1
19,50.5537,1.41577,1.37E+24,1.97E+24,2.05E+24,2.44E+24,8.19E-14,1.28E-13,8.74E-21,6.58E-19,1.26E-25,9.48E-24,3.51E-15,3.80E-18,3.51E-15,-9.20E-19,24.4269,10,2
20,56.2126,1.53982,1.34E+24,2.02E+24,1.99E+24,2.64E+24,8.57E-14,1.31E-13,2.35E-20,9.55E-19,3.12E-25,1.27E-23,4.23E-15,4.64E-18,4.23E-15,-1.43E-18,24.4269,5,1
